Kompanija,Vaistu pavadinimas,Kiekis,Iprastine kaina,Kaina su nuolaida
SWANSON,"VITAMINAS C SU ERŠKĖČIŲ EKSTRAKTU 1000 mg,",30,"6,99€","16,09€"
ABC VIT,"VIT VITAMIN D3, dozatorius - lašintuvas,",10,"2,78€","3,19€"
VITA,"C STRONG 1000mg,",100,"12,99€","9,34€"
VITAMINAS,"E 200 TV LIFEPLAN,",75,"12,99€",
APIPOL,"propolio lašai,",20,"8,99€",
LIFEPLAN,"VITAMINAS E 400 TV ,",60,"24,99€",
ORTHOMOL,"I-CARE, milteliai ir kapsulės,",30,"71,95€",
ORTHOMOL,"VITAMIN D3 PLUS,",60,"23,95€",
ORTHOMOL,"IMMUN, granulės,",30,"63,95€",
NORDAID,"VITAMINAS C+D liposomose serumas, 50 paspaudimų,",50,"22,99€",
ŠAAR,Juodųjų kmynų aliejus,100,"18,49€",
RETINOLIO,"ACETATO (VIT A) 3,44 % ALIEJINIS TIRPALAS,",10,"3,99€",
UNIKALK,"CALCIUM KIDS, su vitaminu D, aviečių ir braškių skonio,",90,"15,99€",
ROYAL,"GREEN BIO Vitamino C kompleksas, 180 mg,",60,"22,25€",
D-MAX ,"100 mcg,",90,"10,99€",
SOLI-D ,,20,"6,11€",
DOPPELHERZ,"AKTIV HEIBER GRANATAPFEL (HOT POMEGRANATE), granulės paketėliuose,",10,"5,60€",
LIVOL,"MONO, Vitaminas C, 400 mg, N",50,"10,90€","7,08€"
DOPPELHERZ,"AKTIV HERBE CRANBERRY, granulės paketėliuose,",10,"5,60€","4,49€"
WALMARK,"MEGA C, 600 mg, apelsinų skonio,",30,"7,24€","4,92€"
GAMTOS,"NAMAI VITAMINAS C, 500 mg,",40,"7,49€","5,52€"
VITIRON,"D3 OLIVE SUN, 1000 IU, purškalas,",10,"9,84€","17,14€"
D-MAX ,"10 mcg,",90,"6,49€","2,54€"
SMART,"WAY, VITAMINAS D3 4000TV, purškiamas maisto papildas,",30,"24,49€","4,98€"
NATURAL,"C-VITA CHERRY, vyšnių skonio, 60 mg,",30,"2,99€","12,71€"
GAMTOS,"NAMAI VITAMINAS D3, 40 µg,",80,"8,30€","10,72€"
NATURA,"MEDIA OMEGA+D,",120,"15,89€","10,84€"
CURESUPPORT,"skystas vitaminas D3 liposomose,",60,"19,80€","5,40€"
VITAMIN,"C PRO FORTE, vitaminas C,",30,"10,14€","6,80€"
LIVOL,"EXTRA, Vitaminas D, 2000 TV, juodųjų serbentų skonio, N",120,"16,49€","18,27€"
VITAMINAS,"D3 5000TV,",250,"18,99€","9,88€"
BERTIL'S,"VITAMIN D3 50 MCG,",150,"15,49€","5,12€"
VITIRON,"D3 OLIVE SUN, 2000 IU, purškalas,",10,"10,79€","3,49€"
ORIOVIT-D,"50 µg 2000 TV, vitaminas D,",100,"11,33€",
ROYAL,"GREEN CAMU CAMU, vitaminas C, 500 mg,",60,"21,49€",
BIOVITAMINAS,"D3, milteliai pakeliuose,",20,"5,90€",
OLIDETRIM,"2000 TV,",60,"8,32€",
LIVOL,"EXTRA vitamino D3 guminukai,",70,"15,20€",
JAMIESON,"FOLIO RŪGŠTIS, 1 mg,",100,"8,54€",
OILEDIXIN,"VITAMINAS C, tirpalas,",30,"2,80€",
ABC VIT,"VIT Vitaminas C, 500 mg, ananasų skonio,",50,"4,99€",
ABC VIT ,"VIT, vitaminas D3, 50µg, 2000TV,",60,"6,99€","4,89€"
ROYAL,"GREEN VITAMINAS B12, metilkobalaminas, 250 µg,",60,"21,79€","18,52€"
MEDICATA ,"askorbo rūgštis, 500 mg,",50,"1,99€","6,38€"
WALMARK,"MEGA VITAMIN D 4000 IU FORTE,",30,"11,81€","10,49€"
VITIRON,"D3 OLIVE SUN, 4000 IU, purškalas,",10,"12,77€","7,01€"
OILEDIXIN,"VITAMINAS D3, aliejinis tirpalas,",10,"2,88€","14,69€"
ECOSH,"vitaminas D3, 1200IU,",10,"14,99€","2,54€"
VITA-D-LIP,"1000, liposominis vitaminas D 1000 TV, 5 ml,",30,"10,01€","26,09€"
NORDAID,"D4000, purškiamas vitaminas D3, 4000IU, 30ml,",200,"20,99€","3,49€"
NATURAL,"C-VITA STRAWBERRY, žemuogių skonio, 60 mg,",30,"2,99€","17,99€"
DETRICAL,"2000 IU,",60,"6,09€","13,49€"
TAKEDA,"APOVIT VITAMIN C, 200 mg,",70,"4,57€","13,88€"
ECOSH,"VITAMINAI K2+D3,",10,"28,99€","11,19€"
ABC VIT,"VIT Vitaminas C, 500 mg, apelsinų skonio,",50,"4,99€","10,72€"
ECOSH,"bioaktyvus vitaminas C su acerola,",90,"19,99€","1,74€"
WALMARK,"SUPER VITAMINAS C, 600 mg,",30,"8,94€","13,22€"
ECOSH,"vitaminas C su erškėtuogėmis,",90,"14,99€",
CURESUPPORT,"vitaminas C liposomose,",150,"18,50€",
OLIDETRIM,"2000 D3 + K2 Omega-3,",30,"9,08€",
ECOSH,"vitaminas D3, 4000TV,",10,"15,99€",
MOLLER'S,"D VITAMIN EXTRA,",60,"21,30€",
LIVOL,"EXTRA, vitaminas D, 4000TV, N",120,"16,49€",
ASKORBO,"RŪGŠTIS, 50 mg, dražetės, N",200,"2,49€",
SMARTHIT,"IV VITAMIN D3,",30,"18,89€",
OILESEN,"VITAMINAS D3 4000 su juodųjų ikrų aliejumi,",40,"13,89€","4,89€"
WALMARK,"MEGA VITAMIN D, 2000 IU,",60,"10,68€","3,12€"
ABC VIT ,"VIT, vitaminas D3, 100µg, 4000TV,",60,"6,99€","1,38€"
BONCEL ,"5600 TV,",12,"7,79€","6,77€"
DETRICAL,"4000 IU,",60,"6,49€","12,52€"
VITAMINAS,"C, 500 mg,",50,"1,53€","13,64€"
ORIOVIT-D,"100 µg 4000 TV, vitaminas D,",100,"11,28€","16,37€"
SMARTHIT,"IV VITAMIN D3 + K2,",30,"17,89€","10,00€"
OILESEN ,"vitaminas D3 400, geriamieji lašai,",10,"2,19€","10,34€"
ECOSH,"PAU D'ARCO, ekstraktas,",50,"19,49€",
ECOSH,"PAU D'ARCO, 500 mg,",100,"19,26€",
LIFEPLAN,"VITAMINAS B5 250 mg, kalcio pantotenatas, tabletės N",100,"14,80€",
LIFEPLAN,"VITAMIN B COMPLEX MEGA, koncentruotas B grupės vitaminų kompleksas",60,"14,10€",
CURESUPPORT ,"liposominis vitamino B kompleksas,",150,"16,52€",
RAW POWDERS,"POWDERS NIACINAS (VITAMINAS B3), 500 mg,",60,"9,55€",
VITAMINAS,"B6 100 mg LIFEPLAN,",60,"9,99€",
ECOSH,"VITAMINAS B3 (niacinas), 250 mg NE,",90,"17,99€",
ECOSH,"BIOAKTYVUS VITAMINAS B12, 1200 mcg,",90,"17,99€",
VIRIDIAN,"HIGH FIVE B COMPLEX + VIT C,",30,"12,65€",
VITA-D-LIP,"4000, liposominis vitaminas D, 4000TV, 5 ml,",30,"12,50€",
OILESEN ,"vitaminas D3,",80,"6,61€",
ECOSH,"vitaminas D3 4000IU su kanapių sėklų miltais,",90,"13,79€",
VITA,"B12, 1 mg,",30,"5,99€",
VITA,"B12 + FOLIO RŪGŠTIS,",30,"7,49€",
OILESEN,"FORTE D3 4000, vitaminas D3,",60,"13,65€","11,89€"
BERTIL'S,"VITAMINAS B12 + FOLIATAS,",100,"25,49€","31,02€"
BENFOGAMMA ,"50 mg, dengtos tabletės, N",50,"8,75€","71,99€"
CENTRUM,"MEN, multivitaminai vyrams,",30,"16,99€","22,00€"
MULTI-B,"STRONG,",250,"25,49€","19,49€"
FOMAN ,,30,"9,46€","8,39€"
ROYAL,"GREEN ALGAE OIL OMEGA-3 DHR, dumblių aliejus, 200 mg,",60,"36,49€","4,18€"
LIBIMASCULINE ,,30,"13,61€",
NORDAID,"IRON SPRAY, 5 mg, purškalas,",30,"20,99€",
BIOPILLS,"GLUCO PLUS,",60,"24,29€",
Birdie,kapsulės kūno formų dailinimui,60,"21,99€",
RAW POWDERS,"POWDERS MELATONINAS, 1 mg,",200,"8,49€",
Olimp,L-Carnitine 1500 Extreme Mega Caps L-Karnitinas,120,"36,00€",
FERTILOVIT,"F THY, maisto papildas, kapsulės, N",90,"79,99€",
ORTHOMOL,"VITAL M, milteliai, tabletės ir kapsulės,",30,"66,99€",
ORTHOMOL,"VITAL F, milteliai, kapsulės ir tabletės,",30,"66,99€",
ŠAAR,Burnočių aliejus,100,"14,49€",
ŠAAR,Salvisil,100,"18,49€",
SAPIENS ,"Biotinas 10000 PRO,",60,"11,99€",
FRANK,"FRUITIES MEN‘S MULTI, maisto papildas vyrams, guminukai, N",80,"24,45€",
VIRIDIAN,"MULTIVITAMIN PREGNANCY FORMULA ,",60,"25,99€",
LOTAMILE,"BIOFOLIC COMPLEX,",30,"13,99€",
GLUCOPIL ,,60,"17,99€",
DIFOLIN ,"folio rūgštis + vitaminas D,",60,"6,96€",
SMARTHIT,"IV VITAMIN B12,",30,"19,49€","13,64€"
FOLIO,"RŪGŠTIS, 800 mcg,",60,"2,80€","2,52€"
FOLIO,"RŪGŠTIS, 400 mcg,",90,"2,47€","2,22€"
AMBIO,"RUTINAS PLIUS,",30,"7,48€","4,86€"
ECOSH,"BIOAKTYVI FOLIO RŪGŠTIS, 800 µg,",90,"15,99€","11,99€"
AMBIO,"MULTIVITAMINAI VAIKAMS, sirupas,",150,"6,49€","4,22€"
AMBIO,"IMUNITETUI MIKSTŪRA,",120,"7,48€","4,86€"
JAMIESON,"IMUNITETUI,",30,"15,19€","1,75€"
AMBIO,"KIDS VITAMINAS C GERIAMIEJI LAŠAI,",30,"2,69€","2,99€"
AMBIO,"VITAMINAS C (AVIEČIŲ SKONIO),",20,"4,98€","3,99€"
AMBIO,"KIDS VITAMINAS D 400 TV,",30,"7,98€","6,49€"
JAMIESON,"MUSHROOM COMPLEX, 60 kapsulės (galioja iki 2024.01.",31,"19,94€","5,51€"
AMBIO,"PAU D'ARCO EKSTRAKTAS, skystasis maisto papildas, 50ml (galiojimas 2024.04.",30,"9,98€","12,82€"
AMBIO,"RYKLIŲ TAUKAI, 500 mg,",60,"8,98€","3,84€"
AMBIO,"KOMPLEKSAS IMUNITETUI SU GEROSIOMIS BAKTERIJOMIS, 30 kramtomųjų tablečių (galiojimas 2024.03.",31,"9,98€","1,55€"
AMBIO,"IMUNITETUI SU EŽIUOLE,",30,"8,48€",
AMBIO,"VITAMINAS C SU CITRUSINIŲ VAISIŲ BIOFLAVONOIDAIS,",30,"5,99€",
AMBIO,"CORDYCEPS, 100 tablečių (galiojimas 2024.03.",31,"17,98€",
JAMIESON,"CIBERŽOLĖ 550 mg,",60,"21,37€",
AMBIO,"VITAMINAS B12 500 µg,",60,"5,49€",
AMBIO,"VITAMINAS B12, 1000µg,",60,"11,98€",
APIPRO,"oral burnos purškalas su propoliu,",20,"7,50€",
MEDICATA ,"askorbo rūgštis MDF, milteliai,",15,"2,07€",
MEDICATA ,"medus,",220,"2,42€",
OMEGA,"- 3 ŽUVŲ TAUKAI 1000mg, kapsulės, N",110,"13,99€","10,42€"
SYMBIOSYS,"DEFENCIA ADULTE,",30,"18,89€","22,42€"
ŠVF EŽIUOLIŲ,"EŽIUOLIŲ ŠAKNYS, tabletės,",100,"14,89€","18,74€"
ESPRICO ,,60,"16,64€","20,82€"
ROYAL,"GREEN BIO ASHWAGANDHA (Ašvaganda), 430 mg,",60,"23,99€","6,13€"
CURCUMIN,"GEL 95+ koncentruotas kurkumino kompleksas, aviečių skonio,",20,"29,90€","11,99€"
WOOM,"maisto papildas stiprinantis imuninę sistemą BETA GLUCAN,",30,"24,99€","11,69€"
ROYAL,"GREEN BIO Cinko kompleksas,",60,"24,49€","9,79€"
NEW NORDIC,"NORDIC MINERALAI KAULAMS, uogų skonio,",60,"8,17€","11,96€"
MARSIEČIAI,"SU INULINU, miško uogų skonio,",30,"10,72€","12,06€"
ACORUS,"BALANCE IMMUNO FIBER, milteliai,",180,"14,99€","14,69€"
SVEIKAS,"VAIKAS, vaikų imuniteto stiprintojas, 10 mg,",60,"12,99€","17,27€"
CENTRUM,"JUNIOR, multivitaminai vaikams,",30,"13,99€","3,71€"
EQUILIBRA,"maisto papildas IMMUNO ENERGY POTASSIUM & MAGNESIUM,",14,"15,95€","3,33€"
VITIRON,"KIDS SCHOOL GUMINUKAI VAIKAMS,",50,"13,99€",
WELLTEEN,"HER,",30,"16,43€",
SMART,"WAY IMMUNITY, purškiamas maisto papildas su šeivamedžiu ir cinku,",30,"17,23€",
VITIRON,"KIDS TOYS,",50,"11,99€",
SWANSON ,"Spanguolių 12:1 koncentratas, vitaminai C ir E, kapsulės, N",60,"13,49€",
ACORUS,"BALANCE IMMUNO FIBER SACHETS, paketėliai, 6 g,",20,"20,99€",
VITIRON,"IMMUNITY STRONG,",30,"13,99€",
ACORUS,"BALANCE IMMUNO ACTIVE, milteliai,",200,"21,59€",
MEDICATA ,"žiedadulkių tabletės su pikiu ir vitaminu C, 1,5 g,",20,"4,95€",
IMMUNO,"POSITIVE,",30,"4,76€",
ROYAL,GREEN BIO Karibų medus,250,"6,59€","5,60€"
Greenify,"Immunity Booster, imuninei sistemai, 60 ml, N",1,"2,79€","1,67€"
IRON,"& FOLIC ACID GELEŽIES BISGLICINATAS+FOLIO RUGŠTIS+B12, 10 ml, buteliukai, N",10,"8,99€","1,67€"
DOPPELHERZ,"AKTIV IMMUNE DIRECT,",20,"10,29€","10,23€"
SYMBIOSYS,"DEFENCIA ENFANT,",30,"18,89€","6,07€"
MARSIEČIAI,"IMUNACTIV, apelsinų skonio,",30,"11,60€","6,74€"
Greenify,"Immunity Defence Booster, imuninei sistemai, 60 ml, N",1,"2,79€","5,60€"
Haliborange,"Omega-3 & Multivitamins Softies Orange, apelsinų skonio omega-3 ir multivitaminų guminukai,",60,"23,99€","19,49€"
LYSI ,"RYKLIŲ KEPENŲ ALIEJUS, 500 MG,",60,"12,79€","3,71€"
HUMER,"DAY/NIGHT nosiai ir gerklei,",15,"9,49€","6,83€"
IMUNOMOSS ,"sirupas,",100,"7,59€","40,79€"
MEDICATA,"APILAKAS 50, bičių pienelis, 50 mg,",20,"8,99€",
ROYAL,GREEN BIO Kalnų medus,250,"6,59€",
NORDAID,"ZINC, purškiamas cinko papildas, 15mg, 30ml,",200,"22,20€",
AMBIO,"SELENAS IR CINKAS SU VITAMINAIS,",90,"9,49€",
EQUZEN,"BABY, Atsukamosios kapsulės, N",30,"24,15€",
WOOM,"maisto papildas imuninei sistemai stiprinti IMMUNO,",30,"25,99€",
MEDICATA ,"žiedadulkių tabletės su bičių duonele ir vitaminu C, 1,5 g,",20,"4,95€",
VITADAY,"MULTIVITAMINAI VAIKAMS,",60,"6,48€",
ROYAL,"GREEN BIO IMBIERAS, 335 mg,",60,"16,99€",
NOW Vitamino,Vitamino C Milteliai 227g (,8,"13,00€",
JAMIESON,"CINKAS SU EŽIUOLE IR VITAMINAIS C IR D,",30,"11,39€",
ROYAL,"GREEN BIO Manuka medus MGO200+,",250,"47,99€",
WELLTEEN,"HIM,",30,"16,43€",
SAMBUCUS,"IMUNOSIL, balzamas,",100,"8,09€","3,53€"
PROPOLIS,"MDF, 300 mg/ml, burnos gleivinės ar gerklų ir ryklės tirpalas,",30,"6,20€","10,49€"
IMUNOSIL,"VIRUFIX, kapsulės, N60+N",30,"24,99€","8,41€"
MEDICATA,"PROCALEND, aliejus,",50,"4,71€","7,41€"
WELLKID,"CALCIUM, geriamasis skystis,",150,"13,07€","12,19€"
FORMULA,"VITALE VITAMIN C PROLONG,",60,"14,99€","5,66€"
CITROSEPT,"ORGANIC, greipfrutų sėklų ekstraktas,",20,"10,51€","12,79€"
SAMBUCOL,"BLACK ELDERBERY IMMUNO FORTE, kapsulės su juoduogiu šeivamedžio sulčių ekstraktu, vitaminu C ir cinku,",30,"18,99€","9,09€"
AMBIO,"Ca+K+Mg+Zn+D3, milteliai geriamajam tirpalui ruošti,",30,"10,58€","14,07€"
SWANSON,"KORDICEPSAS, 600 mg,",120,"20,99€","10,72€"
ROYAL,"GREEN BIO ENERGIJA IR IMUNITETAS,",60,"32,39€","2,84€"
PAIRA,"CITROIMUN, ekstraktas,",50,"17,42€",
BF-ESSE,"OSTEONOL, skystis,",150,"13,99€",
RINOSAN,"propo izotoninis nosies purškalas su propoliu,",30,"6,29€",
MARSIEČIAI,"GUMINUKAI BONEACTIV,",50,"12,84€",
LYSI,"OMEGA-3 D3 IMMUNITY FORTE, žuvų taukai,",100,"15,99€",
ROYAL,"GREEN BIO Akacijų medus,",250,"10,69€",
SEDACALM ,"sirupas,",100,"5,30€",
MOLEKIN,"IMUNO,",20,"10,59€",
RAW POWDERS,"POWDERS ČAGA, milteliai,",125,"17,59€",
NEW NORDIC,"NORDIC MINERALAI KAULAMS, apelsinų skonio,",180,"14,30€",
IRONLINK,"KIDS, 10 mg, 8 ml,",10,"6,84€",
OMEGAPURE,"MAX, kapsulės, N",60,"18,15€",
MEDICATA ,"vitaminas C su spanguolėmis, 50 mg,",50,"3,78€",
GAMTOS,"NAMAI VITAMINAS C PROLONG, 500 mg,",30,"7,54€","4,52€"
MOLLER'S,"OMEGA-3 JUNIOR, citrinų-apelsinų skonio,",45,"15,13€","5,59€"
ACORUS,"NEURO, geriamasis tirpalas,",120,"7,99€","5,43€"
MEDICATA ,"bičių duonelė,",50,"7,24€","9,58€"
IMUNOMOSS ,"sirupas,",250,"11,98€","4,90€"
SWANSON ,"475mg, Kvercetinas, kapsulės, N",60,"30,99€","3,49€"
NEW NORDIC,"NORDIC MINERALAI KAULAMS, apelsinų skonio,",60,"6,53€","6,39€"
SWANSON,"PAU D'ARCO, 500 mg,",100,"15,49€","19,99€"
RUTIN,"FORTE,",30,"7,89€","9,00€"
ROYAL,"GREEN BIO MULTI GOLD, multivitaminai,",90,"39,00€","11,24€"
ACORUS,"BALANCE IMMUNO SHOTS, skystis, 25 ml,",14,"24,95€",
MARSIEČIAI,"IMUNACTIV, braškių skonio,",30,"11,60€",
LIFEPLAN,"VITAMINAS D3, 4000 TV,",90,"10,96€",
LIFEPLAN,"CHEWABLE VITAMIN C, 500 mg, apelsinų skonio vitaminas C su flavonoidais,",90,"12,64€",
ABC VIT,"VIT Vitaminas C, 500 mg, braškių skonio,",50,"4,99€",
VITAMINAS,"D3 1000TV, Lifeplan,",90,"7,99€",
CURESUPPORT,"vitaminai K2 + D3 liposomose,",60,"19,49€",
LIFEPLAN,"VITAMIN C 1000 mg TIMED RELEASE, palengva įsisavinamas vitaminas C, tabletės N",60,"10,99€",
LIFEPLAN,"LOW ACID VITAMIN C 1000 mg, sumažinto rūgštingumo vitaminas C, tabletės N",30,"7,99€",
NORDAID,"VITAMINAS C LIPOSOMOSE, 1000mg, serumas, pakeliai 30x",3,"54,75€",
NORDAID,"VITAMINAS C LIPOSOMOSE, 1000mg, serumas, pakeliai 10x",3,"25,45€",
Natura,"Media Vitaminas D3 50µg,",200,"24,99€",
NOW Vitaminas,Vitaminas D-3 Lašai,59,"10,00€",
EQUILIBRA,"purškiamas vitaminas D3, citrinų ir mėtų skonio,",13,"14,99€",
Optibac,"Adult guminukai su gyvybingomis bakterijomis +D+Zn+Cal,",30,"24,00€","16,80€"
